Tên phim,Đạo diễn,Mô tả,Poster URL
Kỵ Sĩ Bóng Đêm,Christopher Nolan,"In Sir Michael Caine's opinion, Heath Ledger beat the odds and topped Jack Nicholson's Joker from Người Dơi (1989): ""Jack was like a clown figure, benign but wicked, maybe a killer old uncle. He could be funny and make you laugh. Heath's gone in a completely different direction to Jack, he's like a really scary psychopath. He's a lovely guy and his Joker is going to be a hell of a revelation in this picture."" Caine bases this belief on a scene where The Joker pays a visit to Bruce Wayne's penthouse. He'd never met Ledger before, so when Ledger arrived and performed, he gave Caine such a fright, he forgot his lines.","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Người Dơi Xuất Hiện,Christopher Nolan,"Although Christian Bale performed many of his own stunts, he wasn't allowed anywhere near the Batmobile.","https://m.media-amazon.com/images/M/MV5BODIyMDdhNTgtNDlmOC00MjUxLWE2NDItODA5MTdkNzY3ZTdhXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg"
Kỵ Sĩ Bóng Đêm Trỗi Dậy,Christopher Nolan,"About a year before this movie's release, writer, producer, and director Sir Christopher Nolan mentioned he was considering using a mixture of CGI and deleted scenes from Kỵ Sĩ Bóng Đêm (2008) to have the Joker appear briefly, which Bryan Singer had done to bring back Marlon Brando as Jor-El in Siêu Nhân Trở Lại (2006). Nolan ultimately decided it was disrespectful to Heath Ledger.","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Những Người Khốn Khổ,Tom Hooper,"Fantine's assault by a rejected customer is based on an actual incident from Victor Hugo's life that resulted in Fantine's creation: he was on his way to his editor's office when he encountered a young man harassing a prostitute. When she rejected his advances, he shoved a handful of snow down her dress and shoved her to the ground. When she defended herself with her fists, he immediately called the police to arrest his ""assailant"". Hugo was a minor celebrity at the time, and spoke up on the woman's behalf when the police arrived, and was able to have her set free. Hugo said he was horrified by the unfairness of the woman's situation, and began to imagine that she might have children depending on her, and thus Fantine appeared in his mind.","https://m.media-amazon.com/images/M/MV5BY2Q1YjIxZTAtZTU0YS00ZmE5LWEwODEtY2IyYWM2ZTJlOWE1XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,Peter Jackson,"See the complete list of Best Picture winners. For fun, use the ""sort order"" function to rank by IMDb rating and other criteria.","https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Vệ Binh Dải Ngân Hà,James Gunn,"When Dave Bautista found out he got the role of Drax the Destroyer, he broke down in tears, overjoyed at getting a Marvel comic book role. He prepared for the role with an acting coach.","https://m.media-amazon.com/images/M/MV5BM2ZmNjQ2MzAtNDlhNi00MmQyLWJhZDMtNmJiMjFlOWY4MzcxXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Bí Danh,J.J. Abrams,"Jennifer Garner's opening narration, which was used throughout season one, was literally phoned in. She was working on-location, and had to read it on the phone to J.J. Abrams, who was recording it on the other end.","https://m.media-amazon.com/images/M/MV5BNWE1OTkzNTItNWY2Yy00MjY5LWI2ZDktOWQ4YjE5MWJmNzEyXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg"
Blonde,Andrew Dominik,"This film is based on the 2000 novel ""Blonde"" by Joyce Carol Oates, which is a fictionalized account inspired by the life of Marilyn Monroe, not an actual biography. Oates insisted that the novel is a work of fiction that should not be regarded as a biography. Oates said that she didn't have anything to do with the making of this film, though once in a while, director Andrew Dominik would get in contact with her, and that she was given an almost-final cut in 2020 and she has praised the film ever since. The novel had been previously adapted into a two-part miniseries: Blonde (2001), starring Poppy Montgomery as Monroe.","https://m.media-amazon.com/images/M/MV5BMDllNjNhMWYtZTg0ZC00ZTE3LWI3MDgtMThiOTY0NTBmOGI4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Không Phải Lúc Chết,Cary Joji Fukunaga,"Reportedly, James Bond actor Daniel Craig personally hand-picked Cuban actress Ana de Armas to play Paloma in this Bond movie, after working with her on Kẻ Đâm Lén (2019), which first released about only four months before No Time to Die was originally meant to release.","https://m.media-amazon.com/images/M/MV5BZTZjM2I3ODMtZDEzNS00ZjY0LWI1OTctZGE3YTU4ZGYzOTk5XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Sòng Bạc Hoàng Gia,Martin Campbell,The way Bond orders his first vodka martini is lifted directly from the Ian Fleming novels.,"https://m.media-amazon.com/images/M/MV5BMTM5MjI4NDExNF5BMl5BanBnXkFtZTcwMDM1MjMzMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Chiến Tranh Giữa Các Vì Sao Tập 7: Thần Lực Thức Tỉnh,J.J. Abrams,"As The Rise of Skywalker brings the latest Star Wars trilogy to a close, lets look back and shine a lightsaber on each of the characters — and the actors who nearly played them.","https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_QL75_UY281_CR0,0,190,281_.jpg"
Sát Nhân Halloween,David Gordon Green,Blumhouse Productions has been a major force in the horror genre since 2007's Paranormal Activity became a worldwide sensation. See how IMDb users rank all of Blumhouse's horror movies since 2007.,"https://m.media-amazon.com/images/M/MV5BY2FlMzdkZTMtN2MwOS00NjQzLTlkMGYtMTRiYWUxZjM2M2ZiXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg"
Kẻ Vô Danh,Ilya Naishuller,"Based on an idea by Bob Odenkirk, who dealt with a home invasion himself by trapping the trespassers in the basement. He was frustrated with how the authorities dealt with the situation and had thought about how he would take the matter into his own hands if he ""was a badass.""","https://m.media-amazon.com/images/M/MV5BZGI2MGI4MzktNWEwOC00ZGNiLTg1MzQtNmM2ZGVhYzAxNTNhXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Hãy Gọi Cho Saul,Vince Gilligan,The music that plays during the end credits is a rearranged version of the Tập Làm Người Xấu (2008) theme.,"https://m.media-amazon.com/images/M/MV5BMGY4MWIyMzAtMTA1OS00NDc3LWE2ZTktMTQ4NTZmZjIxZjgxXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Chàng Will Tốt Bụng,Gus Van Sant,"In 2014, after Robin Williams died, the bench in the Boston Public Garden where he and Matt Damon had their conversation scene became an impromptu memorial site. People left flowers, quotes, and various items at the bench. A petition has been passed around to erect a statue in Williams' memory near the bench.","https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg"
